time,CO,y,CO2,electricity,type,id,eclass,waiting,NOx,fuel,HC,x,route,relative_position,noise,angle,PMx,speed,edge_id,lane_number
1.0,5.53,-8.0,2185.28,0.0,traffic_slow,flow_00.0,HBEFA3/PC_G_EU4,0.0,0.68,0.94,0.07,405.1,routeedge1_0,5.1,63.06,90.0,0.01,11.77,edge1,0
2.0,42.83,-8.0,4224.65,0.0,traffic_slow,flow_00.0,HBEFA3/PC_G_EU4,0.0,1.63,1.82,0.29,417.49,routeedge1_0,17.49,65.27,90.0,0.06,12.39,edge1,0
3.0,35.58,-8.0,4056.56,0.0,traffic_slow,flow_00.0,HBEFA3/PC_G_EU4,0.0,1.54,1.74,0.26,430.42,routeedge1_0,30.42,65.35,90.0,0.06,12.93,edge1,0
4.0,28.44,-8.0,3855.18,0.0,traffic_slow,flow_00.0,HBEFA3/PC_G_EU4,0.0,1.43,1.66,0.22,443.8,routeedge1_0,43.8,65.38,90.0,0.05,13.38,edge1,0
5.0,21.69,-8.0,3640.47,0.0,traffic_slow,flow_00.0,HBEFA3/PC_G_EU4,0.0,1.32,1.56,0.18,457.54,routeedge1_0,57.54,65.4,90.0,0.05,13.74,edge1,0
6.0,15.57,-8.0,3430.2,0.0,traffic_slow,flow_00.0,HBEFA3/PC_G_EU4,0.0,1.22,1.47,0.15,471.58,routeedge1_0,71.58,65.4,90.0,0.04,14.04,edge1,0
7.0,10.24,-8.0,3237.35,0.0,traffic_slow,flow_00.0,HBEFA3/PC_G_EU4,0.0,1.12,1.39,0.12,485.85,routeedge1_0,85.85,65.39,90.0,0.03,14.27,edge1,0
8.0,5.75,-8.0,3069.38,0.0,traffic_slow,flow_00.0,HBEFA3/PC_G_EU4,0.0,1.03,1.32,0.1,500.3,routeedge1_0,100.3,65.38,90.0,0.03,14.45,edge1,0
9.0,2.09,-8.0,2928.91,0.0,traffic_slow,flow_00.0,HBEFA3/PC_G_EU4,0.0,0.96,1.26,0.08,514.89,routeedge1_0,114.89,65.37,90.0,0.03,14.59,edge1,0
10.0,0.0,-8.0,2815.11,0.0,traffic_slow,flow_00.0,HBEFA3/PC_G_EU4,0.0,0.91,1.21,0.06,529.58,routeedge1_0,129.58,65.36,90.0,0.02,14.69,edge1,0
11.0,0.0,-8.0,2725.15,0.0,traffic_slow,flow_00.0,HBEFA3/PC_G_EU4,0.0,0.86,1.17,0.05,544.36,routeedge1_0,144.36,65.36,90.0,0.02,14.77,edge1,0
